dataset,alpha_mlp,alpha_rf,alpha_xgb,alpha_ci_lo,alpha_ci_hi,alpha_r2_fit,alpha,cluster_structure,cluster_separation,density_variation,intrinsic_dim,lid,fisher_ratio,margin,linear_probe_difficulty,anisotropy,class_entropy,class_imbalance,label_noise,n_samples,n_features,n_classes,early_loss
optdigits,0.7356561030714787,0.31950143594078284,0.6164486016351094,0.3742664902197543,1.2310486037966364,0.8507997150527082,0.6164486016351094,14.509257256178682,5.426068305969238,0.27856743878875395,9.09574662729866,6.931625921201247,0.40025783607085513,4.027111834314341,0.0444444444444444,52072.87890625,2.3025189865331592,1.0324909747290554,0.24673469387755104,5620.0,64.0,10.0,
satimage,0.2676605510962153,0.29795484469464345,0.25850302815615167,0.20068896948414394,0.34540209215645823,0.926977232135866,0.2676605510962153,2.3294212490430257,5.371701717376709,0.30783022826789874,11.346917682117676,8.751140555813564,2.097741996353787,1.2684860530875754,0.11111111111111116,1840.45068359375,1.7204590759492508,2.4673539518896104,0.15428571428571428,6000.0,36.0,6.0,
mfeat-zernike,0.4183766837817009,0.21973148451347985,0.30829641978821104,0.14915623940816777,0.7293966858749033,0.8270282579615966,0.30829641978821104,8.614492368097771,4.438190937042236,0.2265682151968107,8.746148882120405,6.7994785158151245,0.5934041930821927,2.061366641634987,0.18222222222222217,2522260.75,2.302585091994046,0.9999999999995001,0.2742857142857143,2000.0,47.0,10.0,
pendigits,0.6386023908057119,0.4732498888473828,0.7117650555303292,0.326979722804661,1.0004981002710795,0.8292984000699046,0.6386023908057119,1.080111299376957,2.6146206855773926,0.30048448111906484,5.431975253185874,3.9125351065805694,0.9786150616304468,1.2755455279437327,0.0822222222222222,190.4868621826172,2.300933277232837,1.1952117863717873,0.09081632653061224,6000.0,16.0,10.0,
waveform-5000,0.20382689940482268,0.1113681655087848,0.16863400275786497,0.17944738961831622,0.23863130683412873,0.9662001686691772,0.16863400275786497,15.433587641354274,2.6318700313568115,0.07402960612942444,25.269480813207192,18.452733570261426,0.13099789778800436,3.995466766035947,0.16000000000000003,34.489620208740234,1.0985545521188804,1.0235934664246205,0.35897959183673467,5000.0,40.0,3.0,
mfeat-pixel,0.6674682700358326,0.26280871478935464,0.6257576771804414,0.1455989253144173,1.2695264426332322,0.7514062006695379,0.6257576771804414,35.27034978331916,2.7046382427215576,0.10279989307604032,17.349208786109152,15.126789338550646,0.07755464934132568,7.490364500690911,0.053333333333333344,1.581973671913147,2.302585091994046,0.9999999999995001,0.3222448979591836,2000.0,80.0,10.0,
page-blocks,0.38166923445236517,0.4339765890351709,0.2670262351300633,0.16752769416779825,0.6986054820849245,0.7593482225461534,0.38166923445236517,60.836882790817874,35.8242301940918,0.5894739000259517,4.122955280388215,3.255075241370159,0.03516913244128907,8.390215210590306,0.0377777777777778,19121.3359375,0.44046926559967586,175.46428571365908,0.07693877551020406,5473.0,10.0,5.0,
ringnorm,0.26641949655256053,0.11641546850563773,0.43493877343356546,0.14906111134046843,0.4138147901266542,0.8735359564840484,0.26641949655256053,15.407348493801909,1.1659783124923706,0.3019273251502251,20.70123137555495,14.938738998016008,0.01955727063806939,3.9153649153576553,0.23333333333333328,1.56278657913208,0.6930829567628212,1.02292650033712,0.37755102040816324,6000.0,20.0,2.0,
twonorm,0.28611255111769446,0.10933080125445811,0.3384143855391916,0.20325803811288093,0.34482352377131864,0.9249444692667929,0.28611255111769446,7.901971478531307,2.704549551010132,0.10451388173184409,16.664777374326096,12.93949243400073,0.20023168293212343,2.584935338866382,0.01777777777777778,5.561892509460449,0.6931291802519437,1.012072434607612,0.08346938775510203,6000.0,20.0,2.0,
libras,0.07151205136742429,0.46688842420138554,0.5538691595267723,0.039873756032394056,0.105645593314339,0.8948988229231486,0.46688842420138554,59.64762166316292,3.905465602874756,0.522721493772658,31.68469210721173,26.28919926794407,0.07661554126543028,10.371839545830289,0.43518518518518523,7.931301593780518,2.7080501996022104,0.9999999999958334,0.7698412698412699,360.0,80.0,15.0,
analcatdata-authorship,0.4841404797364994,0.43382260723695326,0.7225506238107021,0.18411352582241758,0.8686028120095738,0.5906757636286457,0.4841404797364994,26.654495147492803,6.191917419433594,0.09109346694899045,23.956584741881095,18.818148191212646,0.30021401129843056,6.4697258527140065,0.007905138339920903,132.6738739013672,1.2389423946087135,5.763636363625884,0.02122448979591836,841.0,70.0,4.0,
analcatdata-dmft,0.026685857638290903,0.2020196371254864,0.032980199720185,0.01978244128027236,0.034223445202684825,0.8499747810541116,0.032980199720185,0.5218422288912018,0.2920719087123871,1.7453488921466649,0.1848466712894421,0.13156332492470194,0.02626114345250443,0.03498727772527069,0.75,4.139529705047607,1.7884993943883827,1.2601626016249918,0.7455102040816325,797.0,4.0,6.0,
analcatdata-germangss,0.08347954559049892,0.33820918962081037,0.48406718361021606,0.051585177430918824,0.11293778551286525,0.8370644961195547,0.33820918962081037,0.5169459817544769,1.2702457904815674,0.2793098527540307,4.074035157606601,3.298415967811839,0.3084331705160828,0.31869419495417733,0.2622950819672131,196.87864685058594,0.9204595056775071,3.4794520547897543,0.30084447572132306,406.0,7.0,3.0,
analcatdata-lawsuit,0.0853670112817642,0.08823702441442081,0.12635810406070672,0.04692003959864237,0.1184805735721852,0.8359588688791791,0.08823702441442081,2.269876752580164,0.48692256212234497,0.23788960787338223,6.990838551370317,5.548328060036043,0.012082192302615088,0.8471975274742658,0.36633663366336633,31.856285095214844,0.6365141680948128,1.9999999999991072,0.41007653061224486,672.0,9.0,2.0,
